2.jpg	[[[[126.0, 262.0], [198.0, 274.0], [195.0, 291.0], [123.0, 280.0]], ('’„œÛ”Ê25237', 0.5442101)]]
4.jpg	[[[[662.0, 442.0], [882.0, 489.0], [872.0, 539.0], [652.0, 491.0]], ('÷–π˙”Ê’˛37501-2', 0.9898146)]]
6.jpg	[[[[150.0, 276.0], [235.0, 286.0], [232.0, 306.0], [148.0, 297.0]], ('’„≤‘”Ê06988', 0.86313385)]]
9.jpg	[[[[276.0, 148.0], [365.0, 139.0], [367.0, 155.0], [278.0, 164.0]], ('‘¡—ÙΩ≠”Ê62038', 0.76662624)]]
18.jpg	[[[[157.0, 239.0], [236.0, 249.0], [234.0, 268.0], [155.0, 258.0]], ('«Ì¡ÍÀÆ13056', 0.8770443)]]
27.jpg	[[[[100.0, 229.0], [186.0, 229.0], [186.0, 249.0], [100.0, 249.0]], ('œÛ–›”Ê11∫≈', 0.72666055)]]
30.jpg	[[[[216.0, 170.0], [281.0, 183.0], [276.0, 206.0], [211.0, 193.0]], ('«Ì¡Ÿ∏ﬂ96888', 0.76955795)]]
31.jpg	[[[[364.0, 278.0], [463.0, 252.0], [471.0, 279.0], [372.0, 306.0]], ('’„‘∂∂´806', 0.9630563)]]
36.jpg	[[[[448.0, 393.0], [537.0, 385.0], [540.0, 416.0], [451.0, 425.0]], ('ƒ˛Ã©52', 0.78786325)]]
42.jpg	[[[[99.0, 147.0], [188.0, 158.0], [186.0, 176.0], [97.0, 165.0]], ('’„»”Ê–›00318', 0.62622035)]]
46.jpg	[[[[227.0, 412.0], [386.0, 446.0], [379.0, 478.0], [220.0, 445.0]], ('’„∆’”Ê–›10001', 0.67176384)]]
54.jpg	[[[[526.0, 355.0], [597.0, 371.0], [591.0, 401.0], [520.0, 385.0]], ('∫£—≤31', 0.7510428)]]
68.jpg	[[[[434.0, 277.0], [487.0, 275.0], [488.0, 297.0], [435.0, 299.0]], ('÷€”Ê12', 0.80304307)]]
73.jpg	[[[[189.0, 198.0], [222.0, 198.0], [222.0, 215.0], [189.0, 215.0]], ('ÕÚ¬°8', 0.56789887)]]
75.jpg	[[[[367.0, 195.0], [437.0, 184.0], [440.0, 203.0], [370.0, 214.0]], ('Ω≠∫£—Û2009', 0.8255542)]]
77.jpg	[[[[188.0, 179.0], [246.0, 182.0], [245.0, 208.0], [186.0, 205.0]], ('∫£∏£16', 0.6704332)]]
86.jpg	[[[[613.0, 212.0], [717.0, 196.0], [719.0, 211.0], [615.0, 227.0]], ('÷–π˙”Ê’˛32549', 0.9146701)]]
87.jpg	[[[[188.0, 189.0], [285.0, 187.0], [285.0, 207.0], [189.0, 209.0]], ('Ω≠À’∫Ω’˛', 0.99696904)]]
88.jpg	[[[[179.0, 273.0], [277.0, 272.0], [277.0, 292.0], [179.0, 293.0]], ('ÀÆŒƒ305', 0.9737257)]]
95.jpg	[[[[274.0, 167.0], [330.0, 162.0], [333.0, 192.0], [277.0, 197.0]], ('√˜»', 0.8725331)]]
99.jpg	[[[[167.0, 111.0], [233.0, 92.0], [243.0, 128.0], [176.0, 146.0]], ('Õ¨–≈', 0.7732997)]]
100.jpg	[[[[259.0, 222.0], [407.0, 217.0], [409.0, 271.0], [261.0, 276.0]], ('∂´ÀÆ647', 0.6792253)]]
101.jpg	[[[[264.0, 194.0], [352.0, 187.0], [355.0, 224.0], [268.0, 232.0]], ('ÃÏœÈ66', 0.76857245)]]
106.jpg	[[[[71.0, 82.0], [118.0, 84.0], [117.0, 104.0], [70.0, 103.0]], ('æ∞…Ω3', 0.6280239)]]
109.jpg	[[[[123.0, 143.0], [201.0, 153.0], [199.0, 174.0], [120.0, 163.0]], ('√ˆœº”Ê‘À01000', 0.627969)]]
112.jpg	[[[[386.0, 148.0], [462.0, 139.0], [464.0, 158.0], [388.0, 167.0]], ('’„»˝”Ê”Õ80999', 0.7693653)]]
113.jpg	[[[[193.0, 253.0], [290.0, 212.0], [305.0, 248.0], [208.0, 289.0]], ('’„∆’”Ê12801', 0.7292035)]]
115.jpg	[[[[469.0, 280.0], [595.0, 258.0], [600.0, 292.0], [475.0, 314.0]], ('¬≥ª∆‘∂”Ê185', 0.76133317)]]
123.jpg	[[[[444.0, 428.0], [609.0, 401.0], [616.0, 444.0], [451.0, 470.0]], ('÷€”Ê649', 0.7505725)]]
124.jpg	[[[[219.0, 152.0], [262.0, 164.0], [258.0, 178.0], [215.0, 167.0]], ('¬≥—Ãø™”Ê60506', 0.8709135)]]
130.jpg	[[[[282.0, 164.0], [368.0, 139.0], [373.0, 156.0], [287.0, 181.0]], ('À’∏””Ê02478', 0.9644763)]]
131.jpg	[[[[328.0, 204.0], [374.0, 199.0], [376.0, 218.0], [330.0, 223.0]], ('ƒ˛Ã©19', 0.6169792)]]
132.jpg	[[[[339.0, 189.0], [384.0, 186.0], [386.0, 205.0], [340.0, 208.0]], ('»Û¥Ô610', 0.5177858)]]
134.jpg	[[[[357.0, 201.0], [400.0, 196.0], [402.0, 213.0], [359.0, 218.0]], ('æﬁ»Ÿ”Ê12', 0.6226747)]]
141.jpg	[[[[268.0, 174.0], [327.0, 161.0], [331.0, 183.0], [273.0, 196.0]], ('√∑…Ω∏⁄58', 0.6131016)]]
